cluster_key,canonical_chosen,raw_variants,reason
abbr_collision:SSS,,SS-S (Suicide Screening Tool) || eight-item Spanish Suicidality Scale (S-SS),SPLIT: abbreviation 'SSS' used for 2 unrelated instruments
abbr_collision:SCI2,,Revised Suicide Crisis Inventory (SCI-2) / revised Suicide Crisis Inventory (SCI-2) || Suicide Crisis Inventory-2 (SCI-2),SPLIT: abbreviation 'SCI2' used for 2 unrelated instruments
abbr_collision:BHS,,Beck Hopelessness Scale (BHS) || Behavioral Health Screen (BHS),SPLIT: abbreviation 'BHS' used for 2 unrelated instruments
abbr_collision:SPS,,Suicide Probability Scale (SPS) || SAD PERSONS Scale (SPS) / SAD PERSONS scale (SPS) || Suicide Potential Scale (SPS),SPLIT: abbreviation 'SPS' used for 3 unrelated instruments
abbr_collision:MAYSI2,,Massachusetts Youth Screening Instrument – 2nd Version (MAYSI-2) || Massachusetts Youth Screening Instrument-2 (MAYSI-2),SPLIT: abbreviation 'MAYSI2' used for 2 unrelated instruments
abbr_collision:CHRTSR,,Concise Health Risk Tracking Self-Report (CHRT-SR) || Concise Health Risk Tracking – Self Report scale (CHRT-SR),SPLIT: abbreviation 'CHRTSR' used for 2 unrelated instruments
abbr_collision:SAFET,,Suicide Assessment 5-step Evaluation and Triage (SAFE-T) / Suicide Assessment Five-step Evaluation and Triage (SAFE-T) || Substance Abuse and Mental Health Services Administration (SAMHSA) Suicide Assessment Five-step Evaluation and Triage (SAFE-T),SPLIT: abbreviation 'SAFET' used for 2 unrelated instruments
abbr_collision:PHQA,,Patient Health Questionnaire for adolescents (PHQ-A) || Patient Health Questionnaire-A (PHQ-A),SPLIT: abbreviation 'PHQA' used for 2 unrelated instruments
abbr_collision:SIQJR,,"SIQ-JR (Suicide Ideation Questionnaire-Junior) / Suicidal Ideation Questionnaire Junior (SIQ-JR) || Suicidal Ideation Questionnaire, Jr. (SIQ-JR)",SPLIT: abbreviation 'SIQJR' used for 2 unrelated instruments
abbr_collision:BSS,,Beck Scale for Suicide Ideation (BSS) / Beck scale for suicide ideation (BSS) || Beck Suicide Scale (BSS),SPLIT: abbreviation 'BSS' used for 2 unrelated instruments
abbr_collision:GHQ28,,Goldberg’s General Health Questionnaire (GHQ-28) || Suicidal Ideation Index of the General Health Questionnaire (GHQ-28),SPLIT: abbreviation 'GHQ28' used for 2 unrelated instruments
abbr_collision:BDIII,,Beck Depression Inventory (BDI-II) || Beck Depression Inventory-II (BDI-II),SPLIT: abbreviation 'BDIII' used for 2 unrelated instruments
abbr_collision:SBQR,,Suicidal Behaviors Questionnaire-Revised (SBQ-R) / Suicide Behaviors Questionnaire-Revised (SBQ-R) / Suicide Behaviour Questionnaire Revised (SBQ-R) / Suicide Behaviours Questionnaire—Revised (SBQ-R) || Suicidal Behavior Questionnaire eRevised (SBQ-R),SPLIT: abbreviation 'SBQR' used for 2 unrelated instruments
abbr_collision:CSSR,,Columbia-Suicide Severity Rating Scale (C-SSR) || Self-rated Columbia-Suicide Severity Rating Scale (CSSR),SPLIT: abbreviation 'CSSR' used for 2 unrelated instruments
abbr:CSSRS#0,Columbia-Suicide Severity Rating Scale (C-SSRS),C-SSRS | C-SSRS (Columbia-Suicide Severity Rating Scale) | Columbia Suicidal Severity Rating Scale (C-SSRS) | Columbia Suicide Severity Rating Scale (C-SSRS) | Columbia Suicide Severity Rating Scale (CSSRS) | Columbia Suicide Severity Rating Scale Screener (C-SSRS) | Columbia Suicide-Severity Rating Scale (C-SSRS) | Columbia-Suicide Severity Rating Scale (C-SSRS) | Columbia-Suicide Severity Rating Scale (CSSR-S) | Columbia-Suicide Severity Rating Scale (CSSRS) | Columbia-suicide severity rating scale (C-SSRS) | Columbia–Suicide Severity Rating Scale (CSSRS),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:HAMD#0,Hamilton Depression Rating Scale (HAM-D),Hamilton Depression Rating Scale (HAM-D) | Hamilton Depression Scale (HAMD),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:PHQ9#0,Patient Health Questionnaire-9 (PHQ-9),PHQ-9 | PHQ-9 (Patient Health Questionnaire-9) | Patient Health Questionnaire-9 (PHQ-9) | Patient Health Questionnaire-9 item (PHQ9),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:PHQ9#1,Patient Health Questionnaire (PHQ-9),9-item Patient Health Questionnaire (PHQ-9) | Patient Health Questionnaire (PHQ-9),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:PHQ9#2,Patient Health Questionnaire 9 (PHQ-9),Patient Health Questionnaire 9 (PHQ-9) | Patient Health Questionnaire—9 (PHQ-9),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:ASIQ#0,Adult Suicidal Ideation Questionnaire (ASIQ),25-Item Adult Suicidal Ideation Questionnaire (ASIQ) | Adult Suicidal Ideation Questionnaire (ASIQ),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:BIS11,Barratt Impulsiveness Scale (BIS-11),Barratt Impulsiveness Scale (BIS-11) | Barratt Impulsiveness Scale 11 (BIS-11),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:SIQ#0,Suicidal Ideation Questionnaire (SIQ),Suicidal Ideation Questionnaire (SIQ) | Suicide Ideation Questionnaire (SIQ),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:ASQ#0,Ask Suicide-Screening Questions (ASQ),ASK Suicide-Screening Questions (ASQ) | ASQ | Ask Suicide-Screening Questionnaire (ASQ) | Ask Suicide-Screening Questions (ASQ) | Ask Suicide-screening Questions (ASQ),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:MINI,Mini International Neuropsychiatric Interview (MINI),MINI | MINI International Neuropsychiatric Interview (MINI) | Mini International Neuropsychiatric Interview (MINI),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:BSICV,Beck Scale for Suicidal Ideation – Chinese Version (BSI-CV),Beck Scale for Suicidal Ideation – Chinese Version (BSI-CV) | Beck scale for suicidal ideation-Chinese version (BSI-CV),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:SSI#0,Beck Scale for Suicidal Ideation (SSI),Beck Scale for Suicidal Ideation (SSI) | Beck Scale for Suicide Ideation (SSI) | Scale for Suicidal Ideation (SSI),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:BDI,Beck Depression Inventory (BDI),9-item Beck Depression Inventory (BDI) | BDI | Beck Depression Inventory (BDI),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:SIS#0,Beck Suicide Intent Scale (SIS),Beck Suicide Intent Scale (SIS) | Suicide Intent Scale (SIS),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:MADRS,Montgomery Asberg Depression Rating Scale (MADRS),Montgomery Asberg Depression Rating Scale (MADRS) | Montgomery-Asberg Depression Rating Scale (MADRS) | Montgomery-Åsberg Depression Rating Scale (MADRS) | Montgomery–Åsberg Depression Rating Scale (MADRS),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:MAST,Multi-Attitude Suicide Tendency Scale (MAST),Multi-Attitude Suicide Tendency Scale (MAST) | Multi-attitude Suicide Tendency (MAST),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:SCI2#0,Revised Suicide Crisis Inventory (SCI-2),Revised Suicide Crisis Inventory (SCI-2) | revised Suicide Crisis Inventory (SCI-2),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:BSRS5,5-item brief symptom rating scale (BSRS-5),5-item brief symptom rating scale (BSRS-5) | Brief Symptom Rating Scale (BSRS-5),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:SPS#1,SAD PERSONS Scale (SPS),SAD PERSONS Scale (SPS) | SAD PERSONS scale (SPS),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:BSSI,Beck Scale for Suicidal Ideation (BSSI),BSSI (Beck Scale for Suicide Ideation) | Beck Scale for Suicidal Ideation (BSSI) | Beck Scale for Suicide Ideation (BSSI),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:RRRS,Risk-Rescue Rating Scale (RRRS),Risk-Rescue Rating Scale (RRRS) | Risk–Rescue Rating Scale (RRRS),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:SAFET#0,Suicide Assessment 5-step Evaluation and Triage (SAFE-T),Suicide Assessment 5-step Evaluation and Triage (SAFE-T) | Suicide Assessment Five-step Evaluation and Triage (SAFE-T),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:PSS,Paykel Suicide Scale (PSS),Paykel Suicide Scale (PSS) | Paykel's Suicide Scale (PSS),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:SIQJR#0,SIQ-JR (Suicide Ideation Questionnaire-Junior),SIQ-JR (Suicide Ideation Questionnaire-Junior) | Suicidal Ideation Questionnaire Junior (SIQ-JR),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:BSS#0,Beck Scale for Suicide Ideation (BSS),Beck Scale for Suicide Ideation (BSS) | Beck scale for suicide ideation (BSS),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:SBQR#0,Suicidal Behaviors Questionnaire-Revised (SBQ-R),SBQ-R | Suicidal Behaviors Questionnaire-Revised (SBQ-R) | Suicide Behaviors Questionnaire-Revised (SBQ-R) | Suicide Behaviour Questionnaire Revised (SBQ-R) | Suicide Behaviours Questionnaire—Revised (SBQ-R),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:SPI,Safety Planning Intervention (SPI),Safety Planning Intervention (SPI) | safety planning intervention (SPI),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:SIOSS,Self-rating Idea of Suicide Scale (SIOSS),Self-Rating Idea of Suicide Scale (SIOSS) | Self-rating Idea of Suicide Scale (SIOSS),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:DSISS,Depression Symptom Index-Suicide Subscale (DSI-SS),Depression Symptom Index-Suicide Subscale (DSI-SS) | Depressive Symptom Index-Suicidality Subscale (DSI-SS),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
abbr:NGASR,Nurses’ Global Assessment of Suicide Risk (NGASR),Nurses' Global Assessment of Suicide Risk (NGASR) | Nurses’ Global Assessment of Suicide Risk (NGASR),multiple full-name spellings under one abbreviation (already fuzzy-verified similar)
crossabbr:SSIOSS<->SIOSS,,self-rating idea of the suicide scale (SSIOSS)  ||  Self-rating Idea of Suicide Scale (SIOSS),"different abbreviations, same-looking instrument, score=0.94"
crossabbr_BLOCKED:CSSRS#0<->CSSRS#4,,Columbia-Suicide Severity Rating Scale (C-SSRS)  ||  Modified Columbia-Suicide Severity Rating Scale (C-SSRS),"NOT merged: version/population/mode qualifier differs, score=0.91"
crossabbr_BLOCKED:CSSRS#0<->ECSSRS,,Columbia-Suicide Severity Rating Scale (C-SSRS)  ||  electronic Columbia-Suicide Severity Rating Scale (eC-SSRS),"NOT merged: version/population/mode qualifier differs, score=0.89"
crossabbr_BLOCKED:CSSRS#0<->CBSSRS,,Columbia-Suicide Severity Rating Scale (C-SSRS)  ||  Columbia Brief Suicide Severity Rating Scale (C-BSSRS),"NOT merged: version/population/mode qualifier differs, score=0.91"
crossabbr:CSSRS#0<->CSSR#0,,Columbia-Suicide Severity Rating Scale (C-SSRS)  ||  Columbia-Suicide Severity Rating Scale (C-SSR),"different abbreviations, same-looking instrument, score=0.99"
crossabbr_BLOCKED:CSSRS#0<->CSSR#1,,Columbia-Suicide Severity Rating Scale (C-SSRS)  ||  Self-rated Columbia-Suicide Severity Rating Scale (CSSR),"NOT merged: version/population/mode qualifier differs, score=0.87"
crossabbr_BLOCKED:CSSRS#4<->CSSR#0,,Modified Columbia-Suicide Severity Rating Scale (C-SSRS)  ||  Columbia-Suicide Severity Rating Scale (C-SSR),"NOT merged: version/population/mode qualifier differs, score=0.90"
crossabbr_BLOCKED:CSSRS#4<->CSSR#1,,Modified Columbia-Suicide Severity Rating Scale (C-SSRS)  ||  Self-rated Columbia-Suicide Severity Rating Scale (CSSR),"NOT merged: version/population/mode qualifier differs, score=0.88"
crossabbr:HAMD#0<->HDRS,,Hamilton Depression Rating Scale (HAM-D)  ||  Hamilton Depression Rating Scale (HDRS),"different abbreviations, same-looking instrument, score=0.94"
crossabbr:HAMD#1<->HRSD,,Hamilton Rating Scale for Depression (HAM-D)  ||  Hamilton Rating Scale for Depression (HRSD),"different abbreviations, same-looking instrument, score=0.94"
crossabbr:HAMD#2<->HAMD17,,Item 3 on the 17-item Hamilton Depression Rating Scale (HAM-D)  ||  item 3 of the Hamilton Depression Rating Scale (HAMD-17),"different abbreviations, same-looking instrument, score=0.88"
crossabbr:PHQ9#0<->PHQ9#1,,Patient Health Questionnaire-9 (PHQ-9)  ||  Patient Health Questionnaire (PHQ-9),"different abbreviations, same-looking instrument, score=0.97"
crossabbr:PHQ9#0<->PHQ9#2,,Patient Health Questionnaire-9 (PHQ-9)  ||  Patient Health Questionnaire 9 (PHQ-9),"different abbreviations, same-looking instrument, score=0.97"
crossabbr_BLOCKED:PHQ9#0<->PHQA#1,,Patient Health Questionnaire-9 (PHQ-9)  ||  Patient Health Questionnaire-A (PHQ-A),"NOT merged: version/population/mode qualifier differs, score=0.95"
crossabbr_BLOCKED:PHQ9#0<->PHQ2,,Patient Health Questionnaire-9 (PHQ-9)  ||  Patient Health Questionnaire-2 (PHQ-2),"NOT merged: version/population/mode qualifier differs, score=0.95"
crossabbr:PHQ9#1<->PHQ9#2,,Patient Health Questionnaire (PHQ-9)  ||  Patient Health Questionnaire 9 (PHQ-9),"different abbreviations, same-looking instrument, score=0.97"
crossabbr_BLOCKED:PHQ9#1<->PHQA#1,,Patient Health Questionnaire (PHQ-9)  ||  Patient Health Questionnaire-A (PHQ-A),"NOT merged: version/population/mode qualifier differs, score=0.95"
crossabbr_BLOCKED:PHQ9#1<->PHQ2,,Patient Health Questionnaire (PHQ-9)  ||  Patient Health Questionnaire-2 (PHQ-2),"NOT merged: version/population/mode qualifier differs, score=0.95"
crossabbr_BLOCKED:PHQ9#2<->PHQA#1,,Patient Health Questionnaire 9 (PHQ-9)  ||  Patient Health Questionnaire-A (PHQ-A),"NOT merged: version/population/mode qualifier differs, score=0.92"
crossabbr_BLOCKED:PHQ9#2<->PHQ2,,Patient Health Questionnaire 9 (PHQ-9)  ||  Patient Health Questionnaire-2 (PHQ-2),"NOT merged: version/population/mode qualifier differs, score=0.92"
crossabbr_BLOCKED:SBQASC#0<->SBQ,,Suicidal Behaviours Questionnaire (SBQ-ASC)  ||  Suicide Behavior Questionnaire (SBQ),"NOT merged: version/population/mode qualifier differs, score=0.89"
crossabbr_BLOCKED:ASIQ#0<->SIQ#0,,Adult Suicidal Ideation Questionnaire (ASIQ)  ||  Suicidal Ideation Questionnaire (SIQ),"NOT merged: version/population/mode qualifier differs, score=0.91"
crossabbr_BLOCKED:SINAS<->SIDAS,,Suicidal Intrusions Attributes Scale (SINAS)  ||  Suicidal Ideation Attributes Scale (SIDAS),"NOT merged: version/population/mode qualifier differs, score=0.88"
crossabbr_BLOCKED:MMPI2<->MMPIA,,Minnesota Multiphasic Personality Inventory-2 (MMPI-2)  ||  Minnesota Multiphasic Personality Inventory—Adolescent (MMPI-A),"NOT merged: version/population/mode qualifier differs, score=0.87"
crossabbr_BLOCKED:MMPI2<->MMPI3,,Minnesota Multiphasic Personality Inventory-2 (MMPI-2)  ||  Minnesota Multiphasic Personality Inventory (MMPI-3),"NOT merged: version/population/mode qualifier differs, score=0.96"
crossabbr_BLOCKED:LOSSB<->LOSS,,Bangla Literacy of Suicide Scale (LOSS-B)  ||  Literacy of Suicide Scale (LOSS),"NOT merged: version/population/mode qualifier differs, score=0.88"
crossabbr_BLOCKED:SIQ#0<->SIQJR#1,,"Suicidal Ideation Questionnaire (SIQ)  ||  Suicidal Ideation Questionnaire, Jr. (SIQ-JR)","NOT merged: version/population/mode qualifier differs, score=0.90"
crossabbr:ASQ#1<->RSQ,,Ask Suicide Questionnaire (ASQ)  ||  Risk of Suicide Questionnaire (RSQ),"different abbreviations, same-looking instrument, score=0.88"
crossabbr_BLOCKED:MINI<->MINIS,,Mini International Neuropsychiatric Interview (MINI)  ||  Mini International Neuropsychiatric Interview (MINI-S),"NOT merged: version/population/mode qualifier differs, score=0.98"
crossabbr:SSI#0<->SSI#1,,Beck Scale for Suicidal Ideation (SSI)  ||  Scale for Suicide Ideation (SSI),"different abbreviations, same-looking instrument, score=0.89"
crossabbr:SSI#0<->BSSI,,Beck Scale for Suicidal Ideation (SSI)  ||  Beck Scale for Suicidal Ideation (BSSI),"different abbreviations, same-looking instrument, score=0.99"
crossabbr:SSI#0<->BSS#0,,Beck Scale for Suicidal Ideation (SSI)  ||  Beck Scale for Suicide Ideation (BSS),"different abbreviations, same-looking instrument, score=0.93"
crossabbr:SSI#0<->BSI,,Beck Scale for Suicidal Ideation (SSI)  ||  Beck Scale for Suicide Ideation (BSI),"different abbreviations, same-looking instrument, score=0.93"
crossabbr:SSI#1<->BSSI,,Scale for Suicide Ideation (SSI)  ||  Beck Scale for Suicidal Ideation (BSSI),"different abbreviations, same-looking instrument, score=0.87"
crossabbr:SSI#1<->BSS#0,,Scale for Suicide Ideation (SSI)  ||  Beck Scale for Suicide Ideation (BSS),"different abbreviations, same-looking instrument, score=0.90"
crossabbr:SSI#1<->BSI,,Scale for Suicide Ideation (SSI)  ||  Beck Scale for Suicide Ideation (BSI),"different abbreviations, same-looking instrument, score=0.90"
crossabbr_BLOCKED:BDI<->BDIII#0,,Beck Depression Inventory (BDI)  ||  Beck Depression Inventory (BDI-II),"NOT merged: version/population/mode qualifier differs, score=0.95"
crossabbr_BLOCKED:BDI<->BDIII#1,,Beck Depression Inventory (BDI)  ||  Beck Depression Inventory-II (BDI-II),"NOT merged: version/population/mode qualifier differs, score=0.91"
crossabbr:SIS#0<->BSIS,,Beck Suicide Intent Scale (SIS)  ||  Beck Suicide Intent Scale (BSIS),"different abbreviations, same-looking instrument, score=0.98"
crossabbr:SIS#1<->SUI,,Suicidal Ideation Scale (SIS)  ||  Suicidal/Death Ideation scale (SUI),"different abbreviations, same-looking instrument, score=0.88"
crossabbr:HEADSS<->HEADSSS,,HEADSS  ||  HEADSSS,"different abbreviations, same-looking instrument, score=0.92"
crossabbr_BLOCKED:MMPIA<->MMPI3,,Minnesota Multiphasic Personality Inventory—Adolescent (MMPI-A)  ||  Minnesota Multiphasic Personality Inventory (MMPI-3),"NOT merged: version/population/mode qualifier differs, score=0.89"
crossabbr:BSSI<->BSS#0,,Beck Scale for Suicidal Ideation (BSSI)  ||  Beck Scale for Suicide Ideation (BSS),"different abbreviations, same-looking instrument, score=0.95"
crossabbr:BSSI<->BSI,,Beck Scale for Suicidal Ideation (BSSI)  ||  Beck Scale for Suicide Ideation (BSI),"different abbreviations, same-looking instrument, score=0.95"
crossabbr:HEEADSSS<->HEADSSS,,HEEADSSS  ||  HEADSSS,"different abbreviations, same-looking instrument, score=0.93"
crossabbr_BLOCKED:QIDS<->QIDSSR,,Quick Inventory of Depressive Symptomatology (QIDS)  ||  Quick Inventory of Depressive Symptomatology-Self Report (QIDS-SR),"NOT merged: version/population/mode qualifier differs, score=0.87"
crossabbr:MAYSI2#0<->MAYSI2#1,,Massachusetts Youth Screening Instrument – 2nd Version (MAYSI-2)  ||  Massachusetts Youth Screening Instrument-2 (MAYSI-2),"different abbreviations, same-looking instrument, score=0.88"
crossabbr_BLOCKED:CHRTSR#0<->CHRTSR#1,,Concise Health Risk Tracking Self-Report (CHRT-SR)  ||  Concise Health Risk Tracking – Self Report scale (CHRT-SR),"NOT merged: version/population/mode qualifier differs, score=0.91"
crossabbr_BLOCKED:ECSSRS<->CSSR#0,,electronic Columbia-Suicide Severity Rating Scale (eC-SSRS)  ||  Columbia-Suicide Severity Rating Scale (C-SSR),"NOT merged: version/population/mode qualifier differs, score=0.88"
crossabbr_BLOCKED:PHQA#0<->PHQ9A,,Patient Health Questionnaire for adolescents (PHQ-A)  ||  Patient Health Questionnaire-9 Modified for Adolescents (PHQ-9-A),"NOT merged: version/population/mode qualifier differs, score=0.89"
crossabbr_BLOCKED:PHQA#1<->PHQ2,,Patient Health Questionnaire-A (PHQ-A)  ||  Patient Health Questionnaire-2 (PHQ-2),"NOT merged: version/population/mode qualifier differs, score=0.95"
crossabbr_BLOCKED:CATSS<->KCATSS,,Computerized Adaptive Test Suicide Scale (CAT-SS)  ||  Kiddie-Computerized Adaptive Test-Suicide Scale (K-CAT-SS),"NOT merged: version/population/mode qualifier differs, score=0.90"
crossabbr:BSS#0<->BSI,,Beck Scale for Suicide Ideation (BSS)  ||  Beck Scale for Suicide Ideation (BSI),"different abbreviations, same-looking instrument, score=0.97"
crossabbr:BDIII#0<->BDIII#1,,Beck Depression Inventory (BDI-II)  ||  Beck Depression Inventory-II (BDI-II),"different abbreviations, same-looking instrument, score=0.96"
crossabbr_BLOCKED:SBQR#0<->SBQR#1,,Suicidal Behaviors Questionnaire-Revised (SBQ-R)  ||  Suicidal Behavior Questionnaire eRevised (SBQ-R),"NOT merged: version/population/mode qualifier differs, score=0.96"
crossabbr_BLOCKED:CBSSRS<->CSSR#0,,Columbia Brief Suicide Severity Rating Scale (C-BSSRS)  ||  Columbia-Suicide Severity Rating Scale (C-SSR),"NOT merged: version/population/mode qualifier differs, score=0.90"
crossabbr_BLOCKED:CSSR#0<->CSSR#1,,Columbia-Suicide Severity Rating Scale (C-SSR)  ||  Self-rated Columbia-Suicide Severity Rating Scale (CSSR),"NOT merged: version/population/mode qualifier differs, score=0.88"
fuzzy->Beck Suicide Intent Scale (SIS),Beck Suicide Intent Scale (SIS),Beck Suicide Intent Scale,"fuzzy match to existing canonical, score=0.89"
fuzzy->Mood Disorders Questionnaire (MDQ),Mood Disorders Questionnaire (MDQ),Mood Disorder Questionnaire,"fuzzy match to existing canonical, score=0.89"
fuzzy->Columbia-Suicide Severity Rating Scale (C-SSRS),Columbia-Suicide Severity Rating Scale (C-SSRS),Columbia–Suicide Severity Rating Scale (C–SSRS),"fuzzy match to existing canonical, score=0.96"
fuzzy->Adult Suicidal Ideation Questionnaire (ASIQ),Adult Suicidal Ideation Questionnaire (ASIQ),Adult Suicidal Ideation Questionnaires,"fuzzy match to existing canonical, score=0.93"
fuzzy->Mini International Neuropsychiatric Interview (MINI),Mini International Neuropsychiatric Interview (MINI),Mini International Neuropsychiatric Interview (M.I.N.I.),"fuzzy match to existing canonical, score=0.96"
fuzzy->Columbia-Suicide Severity Rating Scale (C-SSRS),Columbia-Suicide Severity Rating Scale (C-SSRS),Columbia-Suicide Severity Rating Scale,"fuzzy match to existing canonical, score=0.89"
fuzzy->Beck Scale for Suicidal Ideation (SSI),Beck Scale for Suicidal Ideation (SSI),Beck scale for suicidal ideation,"fuzzy match to existing canonical, score=0.91"
fuzzy->Ask Suicide-Screening Questions (ASQ),Ask Suicide-Screening Questions (ASQ),Ask Suicide-Screening Questions,"fuzzy match to existing canonical, score=0.91"
fuzzy->Adult Suicidal Ideation Questionnaire (ASIQ),Adult Suicidal Ideation Questionnaire (ASIQ),Adult Suicidal Ideation Questionnaire,"fuzzy match to existing canonical, score=0.91"
fuzzy->Beck Hopelessness Scale (BHS),Beck Hopelessness Scale (BHS),Beck Hopelessness Scale,"fuzzy match to existing canonical, score=0.88"
fuzzy->Youth Risk Behavior Surveillance System (YRBSS),Youth Risk Behavior Surveillance System (YRBSS),US Youth Risk Behavior Surveillance System,"fuzzy match to existing canonical, score=0.88"
fuzzy->Suicidal Ideation Attributes Scale (SIDAS),Suicidal Ideation Attributes Scale (SIDAS),Suicidal Ideation Attributes Scale,"fuzzy match to existing canonical, score=0.89"
fuzzy->Columbia-Suicide Severity Rating Scale (C-SSRS),Columbia-Suicide Severity Rating Scale (C-SSRS),Columbia Suicide Severity Rating Scale,"fuzzy match to existing canonical, score=0.87"
fuzzy->Beck Scale for Suicidal Ideation (SSI),Beck Scale for Suicidal Ideation (SSI),Beck Scale for Suicidal Ideation,"fuzzy match to existing canonical, score=0.91"
fuzzy->Columbia-Suicide Severity Rating Scale (C-SSRS),Columbia-Suicide Severity Rating Scale (C-SSRS),Columbia Suicide Severity Rating Scale (C‑SSRS),"fuzzy match to existing canonical, score=0.96"
